Full,Name,bSIE,qSIE,PASIE,LSIE/LdV,bLTM,gammaLTM,PAgLTM,LLTM/LdV,Nsrc,Ring?,Good?,ID,zFG,zBG,Re,R_pred,delta_pct
52,J1525+3327,1.31,0.51,134.3,0.292,1.3,0.11,132.5,0.291,1,No,Yes,52,0.1368,0.3105,1.17,1.1047038540359032e-09,99.99999991567147
53,J1531-0105,1.71,0.77,142.9,0.393,1.71,0.03,139.4,0.393,2,Yes,Yes,53,0.273,0.6295,1.5,1.4114672483016127e-09,99.99999991745806
54,J1538+5817,1,0.89,152.1,0.365,0.99,0.01,146.6,0.363,2,Yes,Yes,54,0.2285,0.823,2.2,2.0746648267496212e-09,99.99999979253353
55,J1621+3931,1.29,0.77,148.7,0.358,1.29,0.03,161.9,0.358,1,No,Yes,55,0.1528,0.4742,2.02,1.908504458903631e-09,99.99999985205392
56,J1627-0053,1.23,0.91,10.5,0.36,1.22,0,60.6,0.359,1,Yes,Yes,56,0.1282,0.5341,0.88,8.331345326625556e-10,99.99999993226548
57,J1630+4520,1.78,0.87,74.9,0.475,1.78,0.02,84.1,0.475,4,Yes,Yes,57,0.0674,0.2968,1.92,1.8282706574174734e-09,99.99999989728818
58,J1636+4707,1.09,0.79,98.2,0.38,1.08,0.04,91.9,0.38,2,Yes,Yes,58,0.2218,0.5039,1.91,1.7987942185329225e-09,99.99999983497301
59,J2238-0754,1.27,0.85,137.4,0.335,1.28,0,72.2,0.335,2,Yes,Yes,59,0.106,0.4019,4.8,4.549756031157828e-09,99.99999964175149
60,J2300+0022,1.24,0.71,87.8,0.391,1.21,0.08,90,0.386,1,Yes,Yes,60,0.1062,0.159,0.86,8.104940517959218e-10,99.99999993463757
61,J2303+1422,1.62,0.61,35.3,0.318,1.6,0.07,33.8,0.316,2,Yes,Yes,61,0.1797,0.8751,1.16,1.0960902552540858e-09,99.9999999323401
62,J2321-0939,1.6,0.86,135.2,0.258,1.6,0.01,172.6,0.258,2,Yes,Yes,62,0.3751,0.669,2.88,2.70387286045613e-09,99.99999983100794
63,J2341+0000,1.44,0.76,96.6,0.295,1.47,0.07,143.3,0.299,4,Yes,Yes,63,0.0818,0.2695,1.9,1.8039594086854701e-09,99.99999987472505
